"","state_na","year","val_type","inc_rate","cri_l1","admissio","adm_100k","ncourtc","court_10","drug_arr","pro_drug","vio_l1","pro_crim"
"1","Alabama",1975,"actual_pre-1994",121,3000.10009765625,2716,74.8828201293946,1954,53.8737258911133,NA,0.0480000004172325,372.899993896484,2627.2
"2","Alabama",1978,"actual_pre-1994",144,3712.60009765625,2815,74.4118423461914,2263,59.8202476501465,294.158508300781,0.0480000004172325,414.440002441406,3298.2
"3","Alabama",1981,"actual_pre-1994",183,4933.64013671875,4025,103.44384765625,4006,102.955535888672,263.585601806641,0.0439999997615814,448.529998779297,4485.1
"4","Alabama",1984,"actual_pre-1994",256,4101.06005859375,4755,119.98486328125,4448,112.238204956055,183.711898803711,0.0399999991059303,416.040008544922,3685
"5","Alabama",1987,"actual_pre-1994",307,4288.35009765625,4843,119.550727844238,3824,94.3964462280273,171.508102416992,0.0410000011324883,558.010009765625,3730.3
"6","Alabama",1990,"actual_pre-1994",370,4627.7998046875,7291,180.918121337891,5011,124.342430114746,380.703399658203,0.0529999993741512,590.799987792969,4037
"7","Alabama",1993,"actual_pre-1994",431,5268.10986328125,8740,211.571044921875,6491,157.129028320313,228.24169921875,0.046000000089407,871.659973144531,4396.4
"8","Alabama",1996,"actual_post-1994",492,4848.06005859375,9750,229.249938964844,7477,175.805313110352,277.748413085938,0.0599999986588955,632.349975585938,4215.7
"9","Alabama",1996,"predicted_post-1994",377.029658118398,4865.82516185645,9443.34015402037,245.289377080609,7792.82167893585,165.582776008912,343.131617314359,0.0458662020059579,658.890439077724,4188.04015524508
"10","Alabama",1999,"actual_post-1994",549,4597.080078125,8282,NA,NA,NA,406.104614257813,0.0719999969005585,512.090026855469,4085
"11","Alabama",1999,"predicted_post-1994",377.914799892288,4642.49971791576,9812.34089829972,NA,NA,NA,357.043236916829,0.0497628124212184,595.093642666507,4024.95176380825
"12","Alabama",2002,"actual_post-1994",612,4319.39990234375,7033,NA,NA,NA,384.572601318359,0.0780000016093254,438.600006103516,3880.8
"13","Alabama",2002,"predicted_post-1994",388.103370379662,4384.30638582141,10488.7849592624,NA,NA,NA,441.833117757976,0.0488068314931149,579.811021916011,3793.65198184837
"14","Alaska",1975,"actual_pre-1994",55.4000015258789,5239.7998046875,240,70.381233215332,201,58.9442825317383,NA,0.0399999991059303,453.100006103516,4786.6
"15","Alaska",1978,"actual_pre-1994",127,5898.02978515625,280,70.7070693969727,234,59.0909080505371,188.449905395508,0.0399999991059303,443.239990234375,5454.8
"16","Alaska",1981,"actual_pre-1994",170,5645.68017578125,502,125.5,390,97.5,106.560203552246,0.0359999984502793,436,5209.7
"17","Alaska",1984,"actual_pre-1994",253,6018.580078125,766,156.967208862305,685,140.368850708008,183.436004638672,0.0379999987781048,613.780029296875,5404.8
"18","Alaska",1987,"actual_pre-1994",339,6245.8798828125,1061,195.036758422852,868,159.558822631836,106.307800292969,0.0309999994933605,570.409973144531,5675.5
"19","Alaska",1990,"actual_pre-1994",348,4779.89013671875,1389,253.930526733398,1195,218.46435546875,160.728607177734,0.0240000002086163,497.720001220703,4282.2
"20","Alaska",1993,"actual_pre-1994",446,5569.509765625,2613,445.144805908203,1068,181.942077636719,151.546203613281,0.0240000002086163,660.47998046875,4909
"21","Alaska",1996,"actual_post-1994",383,5753.81005859375,2377,393.543060302734,1549,256.456939697266,303.369812011719,0.0419999994337559,770.859985351563,4982.9
"22","Alaska",1996,"predicted_post-1994",416.509185660415,5760.56086779466,-421.947553774239,286.639110131901,4043.71899594883,208.83627299053,97.9806970790307,0.00462025154831791,681.522594352454,4980.37896313288
"23","Alaska",1999,"actual_post-1994",374,4777.0400390625,2405,NA,NA,NA,390.708587646484,0.0549999997019768,653.909973144531,4123.1
"24","Alaska",1999,"predicted_post-1994",427.419523411137,4791.19046088699,30.9459959244711,NA,NA,NA,123.52051777588,0.00151823481944481,589.686030807033,4118.42983286275
"25","Alaska",2002,"actual_post-1994",396,4236.2001953125,2775,NA,NA,NA,269.337005615234,0.0509999990463257,588.299987792969,3647.9
"26","Alaska",2002,"predicted_post-1994",400.292465536923,4269.0288204717,276.195856772425,NA,NA,NA,83.5501228784731,-0.00265965647203219,550.800073622602,3619.1358934535
"27","Arizona",1975,"actual_pre-1994",118,8221.7001953125,1569,70.5802993774414,1363,61.3135414123535,NA,0.0750000029802322,566.700012207031,7654.9
"28","Arizona",1978,"actual_pre-1994",146,7747.169921875,1908,78.6155776977539,1281,52.7812118530273,444.5126953125,0.0750000029802322,494.209991455078,7253
"29","Arizona",1981,"actual_pre-1994",184,8170.7900390625,2919,107.395141601563,2261,83.186164855957,296.374603271484,0.0590000003576278,650.849975585938,7519.9
"30","Arizona",1984,"actual_pre-1994",247,6391.56005859375,3409,115.20783996582,2965,100.202774047852,352.872497558594,0.06700000166893,494.160003662109,5897.4
"31","Arizona",1987,"actual_pre-1994",307,7321.3701171875,5534,168.719512939453,4298,131.036590576172,365.4130859375,0.0649999976158142,658.280029296875,6663.1
"32","Arizona",1990,"actual_pre-1994",375,8059.72998046875,6657,183.793487548828,5604,154.721145629883,416.489288330078,0.0640000030398369,599.549987792969,7460.2
"33","Arizona",1993,"actual_pre-1994",430,7028.580078125,8171,213.063888549805,6606,172.25553894043,426.167694091797,0.0649999976158142,670.820007324219,6357.8
"34","Arizona",1996,"actual_post-1994",479,8213.6103515625,9090,215.504974365234,7014,166.287338256836,621.451599121094,0.0799999982118607,713.489990234375,7500.1
